func_module_number	lst
77	GO:0010498;GO:0043161;GO:0051603;GO:0006511;GO:0019941;GO:0043632
78	GO:1990349
79	GO:0098609;GO:0086073;GO:0086042;GO:0002934;GO:0045216;GO:0098911;GO:0086069;GO:0098901;GO:0086004
80	GO:0071526;GO:0097485;GO:0007411;GO:0050770;GO:0010975;GO:0007409;GO:0050767;GO:0061564;GO:0048667;GO:0048846;GO:1902284;GO:0048666;GO:0120035;GO:0051960;GO:0031344;GO:0048841;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0048843;GO:0001755;GO:0090497;GO:0000902;GO:0030517;GO:0031345;GO:0014032
81	GO:0015804;GO:0006865;GO:0015807;GO:0003333;GO:0046942;GO:0015849;GO:0015820;GO:0000101;GO:0015803
82	GO:0006956;GO:0006959;GO:0002253;GO:0002252;GO:0050778;GO:0050776;GO:0008228;GO:0006910;GO:1903027;GO:0001867;GO:0050766;GO:0006909;GO:1903028;GO:0002697;GO:0050764;GO:0030449;GO:0045916
83	GO:0006956;GO:0046931
84	GO:0002221;GO:0002833;GO:0002758;GO:0032103;GO:0002218;GO:0031349;GO:0071219;GO:0002831;GO:0002237;GO:0045089;GO:0071216;GO:0045088;GO:0031347;GO:0002253;GO:0002757;GO:0002764;GO:0050778;GO:0002224;GO:0140895;GO:0002752;GO:0050776;GO:0032496;GO:0071222;GO:0034142;GO:0001819;GO:0006954;GO:0002220;GO:0045087;GO:0001817;GO:0009617;GO:0001816;GO:0070498
85	GO:0006171;GO:0046058;GO:0009190;GO:0009187;GO:0052652;GO:0009152;GO:0009260;GO:0046390;GO:0006164;GO:0009165
86	GO:0098656;GO:0006820;GO:0140361;GO:1903790;GO:0001408;GO:0070729
87	GO:0006688;GO:0070085;GO:0006687;GO:0046513;GO:0009247
88	GO:0006307;GO:1990116;GO:0072344
90	GO:0006506;GO:0006505;GO:0180046;GO:0009247;GO:0006664
91	GO:0002098;GO:0002097;GO:0006400
92	GO:0006833;GO:0042044;GO:0015793;GO:0015791;GO:0034219
94	GO:0032402;GO:0051904;GO:0032401;GO:0051905;GO:0051875;GO:0032400;GO:0061512
95	GO:0061640;GO:0000910
96	GO:0160063;GO:0045048
97	GO:0002181;GO:0006412;GO:0042273;GO:0042254;GO:0022613
98	GO:0008380;GO:0000377;GO:0000398
99	GO:0051276;GO:0007062;GO:0007064;GO:0000280;GO:0048285;GO:0034085;GO:0098813;GO:0007059;GO:0051321;GO:0007127;GO:0034087;GO:0061982;GO:0007130;GO:0070193;GO:0007129
100	GO:0007018;GO:0000226;GO:0051656;GO:0051640;GO:0010970;GO:0000070;GO:0051261;GO:1902850;GO:0000278;GO:0098813;GO:0099111;GO:0140014;GO:0000819;GO:0030705;GO:0007052;GO:0098930;GO:1903047;GO:0032984;GO:0007059
101	GO:0070286;GO:0035082;GO:0003341;GO:0001578
102	GO:0008543;GO:0044344;GO:0071774;GO:0071363;GO:0007169;GO:0070848;GO:0007167;GO:0009887;GO:0008284;GO:0001934;GO:0042327;GO:0010562;GO:0045937;GO:0031401;GO:0001932;GO:0030334;GO:0042325
103	GO:0051963;GO:0099054;GO:0099172;GO:0051965;GO:0050807;GO:0007416;GO:0050803;GO:1901888
104	GO:0042572;GO:0034308;GO:0001523;GO:0016101;GO:0006721;GO:0042573
105	GO:0001676;GO:0019373;GO:0120254;GO:0019369;GO:0033559;GO:0006690;GO:0016098;GO:0042178;GO:0006631;GO:0097267;GO:0032787
106	GO:0007005
107	GO:0030001;GO:0006812;GO:0098662;GO:0098655;GO:0098660;GO:0034220;GO:0006813;GO:0006816;GO:0070588;GO:0071805;GO:0006874;GO:0055074;GO:0010959;GO:0098771;GO:0055082;GO:0055080;GO:0050801;GO:0043269;GO:0051592;GO:0030003;GO:0006873;GO:0034765;GO:2001257;GO:0019725;GO:0051924;GO:1904062;GO:0034762;GO:0048878
108	GO:0007031;GO:0016559
109	GO:0010876;GO:0006869;GO:0030301
110	GO:0007269;GO:0099643;GO:0006836;GO:0098916;GO:0007268;GO:0099537;GO:0099536;GO:0023061;GO:0032940;GO:0099504;GO:0099003;GO:0140352;GO:0046903;GO:0017156;GO:0016079;GO:0048791
111	GO:0045116;GO:0000338;GO:2000434
112	GO:1990809;GO:0071787
113	GO:0016236;GO:0006914;GO:0061919;GO:0000045;GO:1905037;GO:0007033;GO:0044804;GO:0043562;GO:0006995
114	GO:0070269;GO:0032731;GO:0032732;GO:0032651;GO:0032611;GO:0050727;GO:0032652;GO:0032612;GO:0006954;GO:0050729;GO:0031347;GO:0001819;GO:0031349;GO:0032103
115	GO:0051169;GO:0006913;GO:0006606;GO:0051170
116	GO:0031929;GO:0038202;GO:0032006;GO:0038203;GO:0031669;GO:0031667
117	GO:0006457;GO:0051604;GO:0051085;GO:0006458;GO:0051084;GO:0061077;GO:0042026;GO:0035966
118	GO:0045739;GO:0006282;GO:0051054;GO:1905168;GO:0051052;GO:0080135;GO:0045911;GO:2000781;GO:0010569;GO:0006281
119	GO:0006282;GO:0080135;GO:0090043;GO:0051052;GO:0043484;GO:0090042;GO:0090311;GO:0006281
120	GO:0031589;GO:0061061;GO:2001046;GO:0071711;GO:0034446;GO:0007229;GO:2001044;GO:0110011
121	GO:0007229;GO:0007160;GO:0033627;GO:0031589;GO:0098609;GO:0048646;GO:0034113;GO:0001704;GO:0001525;GO:0048514;GO:0035295;GO:0035239;GO:0001568;GO:0007369;GO:0001944
122	GO:1903232;GO:0060155;GO:0033363;GO:0006897;GO:0006898;GO:0048753;GO:0032438
123	GO:0006897;GO:0098657;GO:0006898;GO:0072583;GO:0048488;GO:0140238
