func_module_number	lst
200	GO:0031145;GO:0070979;GO:0051445;GO:0000209;GO:0006511;GO:0019941;GO:0043632;GO:0016567;GO:2000241;GO:0043161;GO:0032446;GO:0051603;GO:0070647;GO:0010498;GO:0043687;GO:0051321;GO:0007346
201	GO:0006090;GO:0006096;GO:0046032;GO:0009137;GO:0009181;GO:0046031;GO:0019364;GO:0009179;GO:0009191;GO:0009135;GO:0072526;GO:0009134;GO:0009185;GO:0009154;GO:0009261;GO:0009132;GO:0006195
202	GO:0030198
203	GO:0030574;GO:0022617;GO:0030198
204	GO:2000278;GO:0001711;GO:1903706;GO:0140889;GO:0006275;GO:0060795
206	GO:0043567;GO:0048009;GO:0007169;GO:0007167;GO:0046006;GO:0050798;GO:0014910
207	GO:0008380;GO:0006397;GO:0016071
208	GO:0000723;GO:0032200;GO:0032204;GO:0051052;GO:0033044;GO:0051276;GO:0016233;GO:0032205;GO:0051053;GO:0010833;GO:0007004;GO:0006278;GO:1904357;GO:2001251;GO:0032210;GO:0071897;GO:2001252;GO:1904356;GO:0140588
209	GO:0008380;GO:0000398;GO:0000377
211	GO:0022613;GO:0042254
212	GO:0007006;GO:0006839;GO:0007005;GO:0097345
213	GO:0016236;GO:0000045;GO:1905037;GO:0006914;GO:0061919;GO:0007033;GO:0044804;GO:0042594;GO:0043562;GO:0006995
215	GO:0035269;GO:0035268;GO:0097502
220	GO:0016567;GO:0032446;GO:0070647
224	GO:0018377;GO:0006499
225	GO:0006936;GO:0003012;GO:0090257;GO:0006937;GO:0044057
226	GO:0090110;GO:0035459;GO:0090114;GO:0006900
227	GO:0007018;GO:0044782;GO:0099111;GO:0060271
228	GO:0005977;GO:0044042;GO:0006112
229	GO:0045109;GO:0045104;GO:0045103;GO:0030855;GO:0060429
230	GO:0007018;GO:0010970
231	GO:0007062;GO:0051276;GO:0034085;GO:0007064;GO:0034087;GO:0034089
232	GO:0006383;GO:0042797;GO:0009304;GO:0006360
233	GO:0009083;GO:0009081;GO:0010498;GO:0043161
234	GO:0006805;GO:0071466;GO:0009410;GO:0016098;GO:0042178;GO:0006721;GO:0006720;GO:0001676
235	GO:0006121;GO:0034553;GO:0034552
237	GO:0097264
239	GO:0007186;GO:0007188
241	GO:0043484;GO:0006282;GO:0090043;GO:0090042;GO:0090311
242	GO:0032331;GO:0061037
243	GO:0032511;GO:0043328;GO:0036258;GO:0036257;GO:0043162;GO:0045324;GO:0032509;GO:0090148;GO:0071985;GO:0007032;GO:0072666;GO:0072665;GO:0007034;GO:0046755
244	GO:0009117;GO:0006753
246	GO:0006413;GO:0002183;GO:0002181;GO:0006412;GO:0001732;GO:0006417;GO:0022618;GO:0022613
248	GO:0000226;GO:0007099
249	GO:0000226
250	GO:0030198;GO:0043062
251	GO:0042742;GO:0009617;GO:0052547
252	GO:0032456;GO:0016197;GO:0098657
253	GO:0046073;GO:0006231;GO:0009177
254	GO:0002098;GO:0002097
256	GO:0090092;GO:0141091;GO:0007178;GO:0071363;GO:0070848
257	GO:0051650;GO:0051648;GO:0090522;GO:0060271;GO:0044782;GO:0120031;GO:0030031;GO:0051640;GO:0051656;GO:0006893;GO:0099022;GO:0045494;GO:0006904;GO:0140056;GO:0051904;GO:0032402;GO:0032401;GO:0051905;GO:0001895
258	GO:0007059;GO:0034508;GO:0051276;GO:0051383
259	GO:1901465;GO:1901403;GO:0070455;GO:0010257;GO:0032981
261	GO:0000226;GO:0007098
263	GO:0071871;GO:0071872;GO:0043949
264	GO:0007186
265	GO:0006897;GO:0098657;GO:0099003;GO:0072583;GO:0140238;GO:0048488;GO:0036465;GO:0060627;GO:0099504;GO:0014059
266	GO:0110010;GO:1903232;GO:0060155;GO:0007034;GO:0048753;GO:0032438
268	GO:0061640
270	GO:0061061;GO:0030239;GO:0010927;GO:0032989;GO:0055002;GO:0055001;GO:0045214
271	GO:0060627;GO:1903532;GO:0051047;GO:0045921
273	GO:0140115;GO:0036376;GO:0098771;GO:0055080;GO:0050801;GO:0055078;GO:0098662;GO:0098655;GO:0030003;GO:0030007;GO:0006873;GO:0098660;GO:0003013;GO:0010959;GO:0034220;GO:0030001;GO:1903522;GO:0006883;GO:0006812;GO:0043269;GO:0048878;GO:0035725
274	GO:0022618;GO:0071826;GO:0022613;GO:0016071;GO:0000387;GO:0070922;GO:0031054;GO:0010608;GO:0006613;GO:0045047;GO:0016441
275	GO:0032970;GO:0110053;GO:0032956;GO:1902903;GO:1902905;GO:0051495
277	GO:0000723;GO:0032200;GO:0007004;GO:0006278;GO:0010833;GO:0071897;GO:0031118
278	GO:0031163;GO:0016226
279	GO:0018171;GO:0042744
281	GO:0005984
284	GO:1905907;GO:1905906;GO:1990000;GO:1902904
285	GO:0008380;GO:0000375;GO:0000398;GO:0000377;GO:0006397;GO:0016071
286	GO:0000184;GO:0016071;GO:0000956;GO:0006406;GO:0008380;GO:0000398;GO:0000377
287	GO:0002181;GO:0006412;GO:0042254;GO:0022613;GO:0042274;GO:0006364
288	GO:0007015;GO:0030036;GO:0030029;GO:0097435;GO:0030050
289	GO:0016255;GO:0180046;GO:0043578;GO:0090292
290	GO:0017185
291	GO:0008380;GO:0000398;GO:0000377
292	GO:0010649;GO:0000466
293	GO:0006635;GO:0019395;GO:0009062;GO:0034440
294	GO:0030497;GO:0035338;GO:0035336;GO:0044283
296	GO:0009304;GO:0042791
297	GO:0006119;GO:0009060;GO:0045333;GO:0042773;GO:0042775;GO:0019646;GO:0015980;GO:0022904;GO:0022900;GO:0006091;GO:0042776;GO:0015986
298	GO:0032543
299	GO:0003012;GO:0006936;GO:0030049;GO:0033275;GO:0006941;GO:0030029;GO:0030239;GO:0045214;GO:0003009;GO:0050879;GO:0050881;GO:0032989;GO:0010927
300	GO:0050804;GO:0099177;GO:0099173;GO:0007611;GO:0050890;GO:0050808;GO:0007268;GO:0098916;GO:0099537;GO:0099536;GO:0007612;GO:0007610
301	GO:0030029;GO:0031032
302	GO:0070098;GO:1990868;GO:1990869;GO:0071621;GO:0042330;GO:0006935;GO:0030593;GO:0097530;GO:0097529;GO:1990266;GO:0030595;GO:0060326;GO:0050900;GO:0019221;GO:0002548;GO:0048247;GO:0071345;GO:0072676;GO:0006954;GO:0034097;GO:1901652;GO:0071674;GO:0007186;GO:0071346;GO:0071347
303	GO:0006364;GO:0042254;GO:0016072
304	GO:0140053
305	GO:0016071;GO:0033962;GO:0006402;GO:0000288;GO:0000289;GO:0000956;GO:0006401;GO:0141188
306	GO:0007018;GO:0098971;GO:0098937;GO:0098935
307	GO:0007099;GO:0007098;GO:0098534;GO:0031023;GO:0051298;GO:0046599;GO:0000226;GO:0044782
310	GO:0006119;GO:0009060;GO:0045333;GO:0042776;GO:0015986;GO:0015980;GO:0006754;GO:0009206;GO:0009145
311	GO:0060261;GO:2000144;GO:0060260;GO:2000142
312	GO:0006401;GO:0141188;GO:0034655;GO:0071027;GO:0071025;GO:0000956;GO:0034475;GO:0016072;GO:0071028;GO:0006402;GO:0000460;GO:0016071;GO:0016073;GO:0034472;GO:0006364
313	GO:0098662;GO:0098655;GO:0008015;GO:0098660;GO:1904045;GO:0050914;GO:1904044;GO:0034220;GO:0030001;GO:1904117;GO:1904116;GO:0071389
314	GO:0060271;GO:0044782
315	GO:0042254;GO:0022613
317	GO:0002224;GO:0032755;GO:0032637;GO:0032677;GO:0002221;GO:0002758;GO:0002218;GO:0032675;GO:0032635;GO:0140894;GO:0045089
318	GO:0018279;GO:0006487
319	GO:0046513;GO:0046520;GO:0046512;GO:0006672;GO:0030148;GO:0034312
320	GO:0006027
321	GO:0046395;GO:0016054;GO:0044248;GO:0019752;GO:0043436;GO:0006082;GO:0072329
322	GO:0030258;GO:0019395;GO:0009062;GO:0034440;GO:0072329;GO:0033540
323	GO:0140053
325	GO:0019373;GO:0006805;GO:0019748;GO:0120254;GO:0071466;GO:0019369;GO:0009410
328	GO:0030029
331	GO:0044782;GO:0042073;GO:0060271;GO:0035720
332	GO:0051603;GO:0010498;GO:0006511
333	GO:2000811
334	GO:0090174;GO:0048284;GO:0061025;GO:0006906;GO:0048193
335	GO:0016197;GO:0043328;GO:0007032;GO:0032511
336	GO:0007031;GO:0016559
337	GO:0006418;GO:0043039;GO:0043038
339	GO:0006836
340	GO:0006465;GO:0022904;GO:0022900;GO:0051604
341	GO:0001682;GO:0099116
342	GO:0009101
343	GO:0000226
345	GO:0050915;GO:0050909
346	GO:0050651;GO:0050655
348	GO:0030198
349	GO:0015936
350	GO:0061061
351	GO:0098662;GO:0098655;GO:0098660;GO:0034220;GO:0030001;GO:0006812;GO:0001508;GO:1904062;GO:0034765;GO:0042391;GO:0010959;GO:0071805;GO:0043269;GO:0034762;GO:0006813;GO:0086091;GO:0086002;GO:0070588
353	GO:0006936
354	GO:0099022;GO:0006901;GO:0006903;GO:0006900
358	GO:0044818;GO:0010972;GO:1902750;GO:0010389;GO:0010212;GO:1902749
359	GO:1903659;GO:0097278
360	GO:0038196;GO:0071358;GO:0034342
361	GO:0071805
363	GO:0071320;GO:0003254;GO:0051591;GO:0051899;GO:0046683
365	GO:0007216;GO:0007215;GO:0051966;GO:0035249
366	GO:0006491
