go-basic.obo: fmt(1.2) rel(2024-10-27) 44,017 Terms
goslim_pir.obo: fmt(1.2) rel(go/2024-11-03/subsets/goslim_pir.owl) 626 Terms
HMS:0:00:00.006376   2,965 annotations READ: go_slim_results_K1_string_0.0.txt 
428 IDs in all associations
func_module_number	
825	GO:0050789;GO:0051258;GO:0006996
826	GO:0006996
827	GO:0015849
828	GO:0032502;GO:0050877
830	GO:0051606
832	GO:0006811;GO:0050896
835	GO:0050789
836	GO:0019538
837	GO:0015849
839	GO:0007155;GO:0022607
844	GO:0050896;GO:0044419;GO:0002376
848	GO:0019538;GO:0009059
849	GO:0065008;GO:0006811;GO:0050789
850	GO:0050789;GO:0002376
851	GO:0006810
855	GO:0015931
856	GO:0006082
861	GO:0022607;GO:0006996
862	GO:0006629
